SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OCCUPATION_TYPE,REGION_RATING_CLIENT,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,DEF_30_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,AMT_REQ_CREDIT_BUREAU_YEAR
100001,0,Cash loans,F,N,Y,0,145800.0,635000.0,47500.0,665000.0,Pensioner,Higher education,Married,House / apartment,-13101,365243,-816,-5793,,1,,0.5669334766613561,0.38226284244195385,0,0,-162,2
100002,0,Cash loans,M,Y,Y,0,162000.0,805000.0,38300.0,765000.0,Working,Higher education,Civil marriage,House / apartment,-22008,-1955,-17701,-5233,Accountants,1,,0.6115218711447208,0.4057538535121185,0,0,-93,1
100003,0,Cash loans,M,N,N,0,94000.0,260000.0,14100.0,235000.0,Working,Secondary / secondary special,Married,Municipal apartment,-22384,-857,-2848,-1842,Sales staff,1,,0.6848747003848629,0.6889376903938206,0,0,-1146,3
100004,0,Cash loans,F,N,Y,0,208000.0,765000.0,51000.0,745000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19971,-2017,-2314,-4894,Laborers,2,,0.6389629678875135,,0,0,-192,1
100005,0,Cash loans,F,N,Y,0,83000.0,470000.0,16200.0,420000.0,Working,Secondary / secondary special,Married,With parents,-9522,-1177,-7670,-2640,Laborers,1,,0.5846721821025994,0.19912148416306913,0,0,-1511,1
100006,0,Cash loans,F,N,N,0,107000.0,520000.0,26500.0,545000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-12360,-2639,-1013,-5048,High skill tech staff,2,,0.46588207634981993,0.40785161195288167,0,0,-603,1
100007,0,Cash loans,F,N,N,0,73000.0,165000.0,10100.0,160000.0,Working,Secondary / secondary special,Widow,House / apartment,-17178,-267,-2136,-4712,Laborers,2,0.6302424906634331,0.5505065987505751,0.36924188648711037,0,0,-938,6
100008,0,Cash loans,M,Y,Y,0,134000.0,290000.0,17300.0,290000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-14300,-1865,-2140,-5946,Core staff,2,,0.461953451825304,0.25958235808097707,0,0,-160,2
100009,0,Cash loans,F,N,Y,0,370000.0,1830000.0,56900.0,1870000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-15919,-3792,-1889,-2253,Sales staff,2,0.620386198809437,0.2971126782758168,0.6326579204505872,0,0,-3099,4
100010,0,Cash loans,M,Y,Y,0,533250.0,2400000.0,101300.0,2415000.0,Working,Higher education,Married,House / apartment,-14671,-4311,-5011,-2987,Core staff,2,,0.4456776013495862,,0,0,-58,0
100011,0,Cash loans,F,N,Y,2,195750.0,910000.0,37100.0,885000.0,State servant,Higher education,Married,House / apartment,-16212,-4254,-4588,-5678,,2,,0.7216967303573052,0.4223800282453823,0,0,-2379,3
100012,0,Cash loans,M,Y,N,0,227000.0,900000.0,33700.0,935000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-17256,-4508,-2076,-4820,Laborers,3,,0.5074395216049825,,2,2,-1527,1
100013,0,Revolving loans,M,Y,N,1,293000.0,1390000.0,77700.0,1295000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16787,-3974,-1095,-5417,Sales staff,2,,0.46029929519811363,,0,0,-45,1
100014,0,Cash loans,F,Y,N,2,164000.0,930000.0,55200.0,865000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14646,-2738,-7015,-3775,Sales staff,2,0.4001456420886868,0.6611373652942836,0.41786847132085686,0,0,-480,1
100015,0,Cash loans,F,N,Y,0,91000.0,325000.0,14700.0,285000.0,Working,Secondary / secondary special,Single / not married,With parents,-16716,-402,-7233,-1112,Drivers,2,0.6875409325321781,0.3276043179306641,0.7053593227133907,0,0,-125,1
100016,0,Cash loans,F,N,N,0,56000.0,335000.0,12200.0,310000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18753,-1272,-5088,-2536,Core staff,2,,0.19077108237680804,0.3795217029744369,0,0,-2440,4
100017,0,Cash loans,F,N,Y,0,432000.0,1700000.0,90500.0,1670000.0,Working,Higher education,Married,House / apartment,-21660,-579,-5787,-369,Laborers,2,0.4768283024613258,0.5608135284261373,0.4714580028004192,0,0,-893,0
100018,0,Cash loans,F,N,Y,0,125000.0,350000.0,14300.0,350000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-13203,365243,-972,-2664,,1,,0.49226795405335033,0.4657184589383376,0,0,-582,0
100019,0,Cash loans,F,N,Y,0,325000.0,1610000.0,79300.0,1385000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20827,-766,-2252,-344,,2,,0.527806119529939,0.387548768828346,1,1,-394,3
100020,0,Cash loans,F,Y,Y,1,103000.0,475000.0,29600.0,475000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-14748,-4046,-4431,-5702,Laborers,3,0.3171512042880901,0.6983619337897877,0.4326611342278344,0,0,-656,0
100021,0,Cash loans,F,Y,N,0,60000.0,220000.0,11200.0,215000.0,Working,Secondary / secondary special,Married,House / apartment,-18586,-5627,-3914,-1549,Managers,2,,0.39958808289626435,,0,0,-493,1
100022,0,Cash loans,F,Y,Y,4,342000.0,1715000.0,82600.0,1770000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15377,-210,-7637,-3404,Laborers,2,,0.679841017875578,0.45028590243642597,0,0,-1535,4
100023,0,Revolving loans,F,Y,Y,1,138000.0,785000.0,40200.0,785000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15750,-1194,-7158,-131,Laborers,2,0.42194838251763744,0.7745349320257832,0.4940240858325769,0,0,-283,1
